38081023.588997;  -5.67; 39; 3; -5.00; 255; -3; 1; 
38193104.553993;  -5.93; 47; 4; -5.00; 247; -4; 1; 
38289056.857002;  -5.96; 55; 4; -5.00; 239; -4; 1; 
38385493.182999;  -6.23; 62; 5; -5.00; 232; -5; 1; 
38481900.784996;  -6.53; 70; 6; -5.00; 224; -6; 1; 
38596123.623993;  -6.86; 79; 7; -5.00; 215; -7; 1; 
38689902.333992;  -6.94; 87; 7; -5.00; 207; -7; 1; 
38785075.229996;  -7.29; 94; 8; -5.00; 200; -8; 1; 
38882192.280991;  -7.68; 102; 9; -5.00; 192; -9; 1; 
38993159.997993;  -8.13; 111; 10; -5.00; 183; -10; 1; 
39090051.278992;  -8.27; 119; 10; -5.00; 175; -10; 1; 
39184757.286995;  -8.75; 126; 11; -5.00; 168; -11; 1; 
39281606.265999;  -9.29; 134; 12; -5.00; 160; -12; 1; 
39392778.381996;  -9.92; 143; 13; -5.00; 151; -13; 1; 
39489218.640999;  -10.16; 150; 13; -5.00; 144; -13; 1; 
39586789.768997;  -10.88; 158; 14; -5.00; 136; -14; 1; 
39681037.195992;  -11.68; 166; 15; -5.00; 128; -15; 1; 
39793227.868996;  -12.66; 175; 16; -5.00; 119; -16; 1; 
39890443.028999;  -13.13; 182; 16; -5.00; 112; -16; 1; 
39984982.255997;  -14.28; 190; 17; -5.00; 104; -17; 1; 
40080962.186996;  -14.51; 197; 18; -4.00; 97; -18; 1; 
40194383.675995;  -14.56; 206; 18; -3.00; 88; -18; 1; 
40290669.409996;  -13.20; 213; 19; 0.00; 81; -19; 1; 
40384756.330994;  -9.50; 219; 18; 4.00; 75; -18; 1; 
40481128.276001;  -5.04; 226; 17; 9.00; 68; -17; 1; 
40597307.225998;  1.30; 233; 16; 16.00; 61; -16; 1; 
40689159.710999;  6.96; 238; 14; 21.00; 56; -14; 1; 
40787386.681000;  12.01; 242; 12; 25.00; 52; -12; 1; 
40880730.322998;  17.23; 246; 10; 29.00; 48; -10; 1; 
40992727.371994;  21.70; 250; 8; 32.00; 44; -8; 1; 
41088841.512993;  25.67; 253; 6; 34.00; 41; -6; 1; 
41184819.966995;  28.99; 256; 4; 35.00; 38; -4; 1; 
41282537.533997;  31.73; 259; 2; 35.00; 35; -2; 1; 
41394462.485001;  35.00; 262; 0; 35.00; 32; 0; 1; 
41489447.159996;  37.81; 264; -2; 34.00; 30; 2; 1; 
