t; x; y; theta
24609745.792999; 0.00; 0.00; 33.39
24627554.696999; 0.00; 0.00; 33.47
24641764.967995; 0.00; 0.00; 33.53
24657845.534996; 0.00; 0.00; 33.59
24672618.667999; 0.00; 0.00; 33.64
24690251.256996; 0.00; 0.00; 33.70
24704837.895996; 0.00; 0.00; 33.76
24720677.336998; 0.00; 0.00; 33.81
24738735.556999; 0.00; 0.00; 33.88
24752877.500000; 0.00; 0.00; 33.93
24769912.207001; 0.00; 0.00; 33.99
24790780.784996; 0.00; 0.00; 34.06
24801038.891998; 0.00; 0.00; 34.10
24818262.280998; 0.00; 0.00; 34.16
24832870.899994; 0.00; 0.00; 34.21
24849984.726997; 0.00; 0.00; 34.27
24865202.970001; 0.00; 0.00; 34.33
24882678.432999; 0.00; 0.00; 34.39
24896686.306999; 0.00; 0.00; 34.44
24914388.397995; 0.00; 0.00; 34.50
24930553.817993; 0.00; 0.00; 34.56
24944626.165993; 0.00; 0.00; 34.61
24961601.191002; 0.00; 0.00; 34.67
24976652.176003; 0.00; 0.00; 34.72
24992830.131996; 0.00; 0.00; 34.78
25010008.606995; 0.00; 0.00; 34.84
25024672.762993; 0.00; 0.00; 34.90
25040683.850998; 0.00; 0.00; 34.95
25058436.520996; 0.00; 0.00; 35.01
25073284.585999; 0.00; 0.00; 35.07
25090204.241997; 0.00; 0.00; 35.13
25105552.324997; 0.00; 0.00; 35.18
25122188.074997; 0.00; 0.00; 35.24
25138881.438995; 0.00; 0.00; 35.30
25152774.518997; 0.00; 0.00; 35.35
25168663.535995; 0.00; 0.00; 35.41
25186681.782997; 0.00; 0.00; 35.47
25201120.723000; 0.00; 0.00; 35.52
25216672.941994; 0.00; 0.00; 35.58
25234666.053993; 0.00; 0.00; 35.65
25250304.242996; 0.00; 0.00; 35.70
25265415.706001; 0.00; 0.00; 35.76
25282640.661995; 0.00; 0.00; 35.82
25296618.781998; 0.00; 0.00; 35.87
25312723.570992; 0.00; 0.00; 35.91
25331145.631996; 0.00; 0.00; 35.98
25344697.847000; 0.00; 0.00; 36.02
25361438.594002; 0.00; 0.00; 36.07
25376625.099991; 0.00; 0.00; 36.12
25393514.918999; 0.00; 0.00; 36.17
25408652.119003; 0.00; 0.00; 36.22
25425016.240997; 0.00; 0.00; 36.27
25442133.126999; 0.00; 0.00; 36.33
25457556.197998; 0.00; 0.00; 36.38
25474930.955994; 0.00; 0.00; 36.43
25489750.956001; 0.00; 0.00; 36.48
25506880.295998; 0.00; 0.00; 36.53
25521642.542999; 0.00; 0.00; 36.58
25538754.590996; 0.00; 0.00; 36.64
25552660.209999; 0.00; 0.00; 36.68
25569631.056992; 0.00; 0.00; 36.73
25586531.172005; 0.00; 0.00; 36.79
25600694.834000; 0.00; 0.00; 36.83
25616868.101997; 0.00; 0.00; 36.88
25634620.647003; 0.00; 0.00; 36.94
25650464.923004; 0.00; 0.00; 36.99
25665954.290993; 0.00; 0.00; 37.04
25680843.954994; 0.00; 0.00; 37.08
25697428.028000; 0.00; 0.00; 37.14
25713458.135994; 0.00; 0.00; 37.19
25729788.722000; 0.00; 0.00; 37.24
25745878.389000; 0.00; 0.00; 37.29
25761747.110992; 0.00; 0.00; 37.34
25777602.499001; 0.00; 0.00; 37.39
25793127.628998; 0.00; 0.00; 37.44
25808623.410004; 0.00; 0.00; 37.49
25824643.417999; 0.00; 0.00; 37.54
25840799.056992; 0.00; 0.00; 37.59
25858855.250999; 0.00; 0.00; 37.65
25873233.988991; 0.00; 0.00; 37.70
25890010.696999; 0.00; 0.00; 37.75
25904832.457993; 0.00; 0.00; 37.79
